qShort qLong cfd_y1 cfd_y2 baseline height eventCounter eventCounterPSD psdValue 
98903 89318 3 -48 455 2419 568 0 -3516 
73065 48794 33 -42 505 2397 569 0 -16298 
94745 117893 0 -41 454 2342 570 0 6433 
100147 81300 12 -31 473 2445 571 0 -7596 
104225 99201 36 -12 420 2385 572 0 -1659 
89585 74497 21 -39 465 2404 573 0 -6636 
94122 84743 34 -33 479 2426 574 0 -3626 
116334 122831 18 -12 421 2409 575 0 1733 
93628 82822 70 -4 453 2383 576 0 -4275 
79849 43876 28 -39 528 2476 577 0 -26864 
143441 176112 10 -8 411 2478 578 0 6078 
176631 196593 3 -3 298 2462 579 0 3327 
88611 77222 30 -30 458 2389 580 0 -4832 
93664 91574 28 -42 482 2418 581 0 -747 
82270 48122 31 -37 474 2390 582 0 -23251 
99284 96894 64 -9 441 2401 583 0 -808 
59621 25356 3 -68 534 2404 584 0 21257 
53200 24114 2 -64 559 2408 585 0 26013 
70899 47844 35 -23 486 2396 586 0 -15789 
50702 26357 40 -16 479 2310 587 0 -30265 
101431 108713 37 -24 452 2424 588 0 2194 
65308 53549 20 -26 506 2440 589 0 -7195 
95494 85364 39 -23 450 2394 590 0 -3888 
96914 92017 54 -6 438 2376 591 0 -1743 
94128 84116 36 -38 493 2451 592 0 -3900 
100003 89093 3 -26 436 2404 593 0 -4012 
91957 66950 41 -30 473 2415 594 0 -12239 
92163 83957 45 -28 481 2415 595 0 -3202 
105018 102048 4 -26 428 2396 596 0 -953 
94680 88776 61 -7 443 2382 597 0 -2179 
95676 88517 64 -4 465 2410 598 0 -2650 
98754 80766 63 -7 473 2423 599 0 -7297 
93929 82709 1 -38 450 2395 600 0 -4445 
107083 99110 14 -27 443 2388 601 0 -2635 
91287 80614 56 -9 484 2423 602 0 -4338 
93588 84394 1 -36 445 2384 603 0 -3569 
96547 89705 12 -28 431 2375 604 0 -2499 
96371 87307 45 -17 469 2425 605 0 -3401 
104400 105292 10 -34 455 2420 606 0 277 
105034 96563 6 -32 440 2422 607 0 -2874 
76951 47503 36 -28 512 2424 608 0 -20312 
80013 62342 41 -22 479 2418 609 0 -9287 
147052 162599 0 -1 330 2352 610 0 3133 
71442 115676 49 -26 391 2232 611 0 12529 
53973 6831 3 -16 567 2427 612 0 -29523 
111784 109286 65 -10 479 2432 613 0 -748 
91939 80266 62 -17 454 2391 614 0 -4765 
95996 88693 60 -12 461 2387 615 0 -2698 
105863 98930 57 -9 441 2414 616 0 -2296 
91217 82284 54 -26 446 2394 617 0 -3557 
75661 53085 121 -35 372 865 618 0 -13935 
86804 84247 9 -22 373 2309 619 0 -994 
80579 67791 29 -41 492 2402 620 0 -6181 
89824 73575 46 -28 488 2418 621 0 -7236 
99237 94649 67 -3 433 2384 622 0 -1588 
63791 50575 31 -38 489 2326 623 0 -8562 
75016 62036 5 -58 507 2395 624 0 -6855 
82926 68947 56 -24 469 2386 625 0 -6643 
78757 57806 36 -39 475 2385 626 0 -11875 
62266 69932 16 -5 503 2341 627 0 3591 
91018 71267 59 -7 471 2427 628 0 -9081 
73278 29114 15 -53 572 2493 629 0 15831 
204685 203851 35 -218 301 2429 630 0 -134 
80922 93634 1 -46 471 2380 631 0 4448 
87474 79187 7 -52 467 2397 632 0 -3429 
85559 75763 23 -42 446 2381 633 0 -4236 
89540 69543 21 -37 499 2438 634 0 -9422 
93309 83130 40 -27 468 2411 635 0 -4012 
94296 83855 54 -18 447 2390 636 0 -4079 
101194 99513 61 -12 455 2408 637 0 -553 
82230 62603 27 -47 509 2424 638 0 -10272 
89493 69429 52 -24 479 2422 639 0 -9469 
80733 65902 50 -24 459 2373 640 0 -7374 
100101 98259 52 -15 461 2396 641 0 -614 
92809 85241 63 -3 469 2413 642 0 -2909 
94766 85196 14 -34 448 2392 643 0 -3680 
111907 108309 21 -30 466 2484 644 0 -1088 
41081 13887 64 -30 482 947 645 0 1371 
89392 79484 0 -57 495 2424 646 0 -4084 
115096 109849 42 -11 434 2412 647 0 -1565 
97227 100487 34 -19 427 2361 648 0 1063 
85231 73216 4 -53 491 2417 649 0 -5377 
87043 75826 20 -43 463 2394 650 0 -4847 
111026 101233 57 -2 416 2406 651 0 -3169 
108332 60254 24 -40 541 2586 652 0 -26145 
86005 75441 23 -44 514 2438 653 0 -4588 
43096 -10233 8 -21 534 2395 654 0 -25844 
98609 108451 66 -1 428 2365 655 0 2973 
68777 25253 19 -8 574 2473 656 0 9062 
89781 77540 44 -32 474 2396 657 0 -5172 
95305 88943 57 -12 460 2409 658 0 -2343 
96055 89122 62 -9 466 2411 659 0 -2549 
122898 128504 32 -8 428 2443 660 0 1429 
54295 39529 21 -46 459 2295 661 0 -12240 
92624 86249 4 -40 458 2393 662 0 -2421 
96862 87005 7 -37 476 2433 663 0 -3712 
131003 81239 2 -11 478 2632 664 0 -20071 
84231 66940 9 -48 471 2399 665 0 -8463 
86445 50949 48 -5 500 2434 666 0 -22828 
109186 120017 33 -21 465 2437 667 0 2957 
96215 87585 36 -22 462 2434 668 0 -3228 
137414 143118 3 -8 415 2476 669 0 1305 
89103 77042 24 -8 557 2506 670 0 -5129 
173275 194999 2 -18 296 2356 671 0 3650 
101193 99146 8 -24 429 2411 672 0 -676 
92114 80562 52 -25 478 2418 673 0 -4698 
124795 127188 32 -4 442 2505 674 0 616 
96275 86930 73 -1 443 2391 675 0 -3522 
82382 68396 42 -25 478 2398 676 0 -6700 
92639 82574 3 -47 484 2421 677 0 -3993 
93403 81059 18 -32 449 2397 678 0 -4989 
95568 84880 32 -22 447 2389 679 0 -4125 
83622 74628 22 -40 487 2411 680 0 -3949 
92975 83731 34 -33 489 2427 681 0 -3617 
92277 82956 49 -19 453 2391 682 0 -3681 
100469 95016 2 -35 441 2393 683 0 -1880 
98189 89910 64 -6 473 2424 684 0 -3017 
