qShort qLong baseline 
53797 99205 456 
50189 76925 498 
49123 90836 458 
56551 104360 464 
56697 104341 420 
53151 91542 463 
55188 94604 480 
58182 114944 422 
52416 94278 452 
54383 85610 521 
65587 138031 421 
112485 166467 323 
51859 90567 455 
54695 94271 482 
50442 81850 477 
55398 99369 442 
46661 59822 541 
46997 56786 556 
50240 73693 486 
45223 56495 469 
56769 101396 453 
54352 66214 515 
54728 96005 450 
48803 89887 457 
56125 95248 493 
56995 101322 434 
54734 92195 473 
51523 92747 481 
55147 104632 429 
51265 94280 445 
53673 96080 465 
51742 97762 474 
53516 94593 450 
54665 105978 444 
53221 92046 484 
54758 94372 444 
53577 96948 431 
53487 95972 473 
55647 105881 451 
58765 104118 445 
51819 78656 513 
52223 81224 482 
104396 145605 329 
44828 72285 385 
45907 57706 566 
51391 107995 484 
53636 92699 454 
48988 92127 471 
53611 106322 437 
54070 94276 441 
14469 77985 355 
53086 88699 371 
50093 81453 493 
53157 90934 487 
52722 99495 433 
46154 69453 475 
49401 76761 505 
50533 80435 478 
50678 80551 475 
41068 56149 520 
53151 92267 472 
54699 80942 560 
114247 197614 313 
49637 79521 476 
55040 87388 470 
53389 87554 444 
54506 90488 500 
52661 94086 468 
54450 95355 446 
52442 101071 455 
52352 83276 510 
52342 90659 480 
52229 82174 459 
49399 101159 456 
53494 93534 469 
55606 95460 448 
60570 114171 463 
12323 58576 424 
53799 88214 500 
54972 114243 434 
52876 94182 434 
52091 86266 491 
54156 87633 464 
56414 110392 419 
67777 120971 517 
51038 87738 512 
45960 47243 536 
51438 99280 425 
47864 71653 574 
50408 89484 476 
54401 96244 459 
51604 95742 468 
56893 123055 425 
42667 50265 474 
52889 93086 458 
56225 97914 475 
95076 166776 393 
53544 84942 472 
52932 86917 501 
56930 108630 465 
55533 100105 455 
73967 135380 418 
58189 99309 534 
108052 168754 300 
61463 106220 419 
54067 93000 478 
65709 129178 433 
53779 96803 443 
51088 84535 476 
53068 92956 485 
55645 94036 450 
51451 93367 454 
53554 84967 487 
51963 93181 490 
53623 92908 453 
55439 99842 443 
54290 98357 474 
50830 89900 431 
53319 93966 440 
56561 97878 461 
48870 72014 523 
56035 99810 441 
52485 95510 492 
50753 78751 522 
65988 122317 425 
55360 110330 352 
55234 108817 446 
52090 96042 482 
53422 95968 426 
50192 86820 453 
61373 110031 471 
57123 97162 476 
50925 88246 434 
54258 91671 471 
53481 90950 451 
55375 98668 436 
54352 94861 455 
55127 103480 443 
55799 96671 464 
52295 98866 442 
51888 72455 501 
52487 93564 526 
54705 85639 468 
54139 89238 470 
52183 97401 458 
51531 86954 466 
49570 77164 463 
53040 95599 475 
62845 108886 464 
52331 92704 449 
53675 89121 494 
52331 96868 481 
53054 84843 485 
55032 96476 429 
52552 90439 483 
3770 73945 364 
55675 96119 463 
53665 96065 444 
53528 96936 470 
53156 90234 511 
54041 93291 446 
58255 102537 430 
55288 99719 469 
46145 60233 540 
51144 89889 462 
40682 36422 618 
56965 104482 470 
16590 -50940 705 
54088 92067 460 
48537 83741 485 
54756 99494 443 
52707 97235 459 
51465 88653 478 
-6790 63407 385 
51729 87799 513 
53449 89042 471 
59576 101931 468 
52862 93757 488 
15526 107763 354 
53437 83885 481 
55039 108626 433 
50515 97301 471 
54852 48733 611 
57191 108637 405 
57994 122320 434 
56792 104597 383 
40227 52715 494 
55159 95887 460 
54151 95457 466 
52831 92559 513 
52760 94852 451 
55031 97535 453 
51636 94630 482 
54913 95846 439 
55306 95032 464 
1537 65253 255 
53499 94855 469 
46698 66736 550 
53773 97880 441 
57675 105501 445 
53143 96318 485 
54676 96359 450 
50467 85983 453 
55007 99092 468 
57319 104880 449 
53126 98410 422 
52879 89785 456 
54246 109091 446 
64638 117588 339 
58559 113696 461 
59289 125654 474 
51014 93348 479 
52566 93015 455 
55196 108902 438 
52774 94240 471 
60420 108166 493 
52091 100923 465 
54047 94795 488 
51227 83730 499 
55503 117910 428 
55282 95776 463 
53578 99034 455 
61482 114266 432 
50003 79262 449 
52505 104465 402 
43137 56108 560 
63151 119375 381 
6345 86502 238 
58324 73128 525 
59128 105797 453 
58381 109501 422 
53392 99669 427 
54390 93109 472 
-2027 32938 349 
51403 86027 490 
53740 93196 456 
52203 95263 480 
53709 95713 471 
58484 105952 447 
53026 93727 434 
57027 100290 464 
55709 105522 459 
55154 93447 449 
52747 93353 485 
55071 96726 474 
54066 102108 452 
7245 44642 409 
52068 84930 454 
48704 77725 506 
11013 59981 334 
57991 115123 420 
71714 121573 479 
54873 102038 462 
46243 62699 575 
71760 127281 329 
58517 119048 419 
51715 93731 480 
42303 49045 508 
55155 93986 450 
53388 96499 471 
53441 88579 558 
52128 87458 483 
55376 110493 430 
51776 90431 482 
46619 56181 571 
52286 96914 436 
54434 94694 489 
50994 75097 549 
62234 123728 374 
58274 100538 532 
43683 90209 432 
49976 80588 476 
57823 110134 419 
61965 124309 422 
51059 93467 500 
55240 95401 452 
52320 94619 456 
54064 95084 479 
53806 99020 458 
54245 96561 447 
56149 100810 452 
53270 94031 487 
55340 93532 457 
53666 96569 456 
55036 95349 482 
51839 88963 451 
53630 74463 470 
52087 96016 465 
55870 98750 494 
55693 99904 443 
54327 97368 477 
52845 88826 466 
36092 38376 555 
58963 91075 498 
55357 101686 440 
55132 88116 493 
48120 63615 513 
51857 94472 465 
55585 97724 464 
48354 75279 480 
56051 104524 411 
52938 84184 497 
55681 97557 466 
52255 89325 477 
54065 87386 491 
51441 96233 474 
45857 69123 473 
54035 95467 424 
55594 102994 444 
50360 92917 416 
44215 62289 438 
42538 48611 542 
54511 83779 496 
54579 87941 465 
53549 92741 435 
51225 94984 471 
55089 94998 467 
53247 94607 450 
56481 101177 471 
52272 96732 465 
-2700 59080 322 
54664 101292 447 
56423 94675 441 
53957 96984 474 
57594 99819 453 
52634 92237 452 
59616 100094 499 
52620 96936 479 
52628 92203 442 
53551 89913 462 
51769 88900 476 
56969 113940 430 
51312 89858 468 
46654 73794 495 
49827 82493 473 
52578 90591 453 
52799 92306 459 
53928 95542 475 
55478 96270 475 
53701 93414 442 
5412 87864 226 
56038 96388 487 
53660 94935 480 
55044 101623 414 
53159 93120 460 
53412 89071 490 
41336 52481 499 
55825 98051 461 
46772 83754 458 
52000 92594 506 
53931 83628 475 
46867 52662 540 
42514 57833 545 
51427 91684 448 
54075 93140 462 
5928 68854 268 
51994 91409 475 
61582 112748 467 
51630 94921 446 
53233 87220 461 
55396 95428 480 
51132 95647 448 
57360 89280 480 
53624 103716 442 
52882 82669 521 
56288 99748 447 
52576 88168 476 
51230 91458 491 
55523 94113 445 
54901 94039 466 
51989 93646 462 
55139 108139 439 
52434 95820 448 
52409 81890 537 
57438 120877 401 
61264 117482 366 
52010 86124 424 
51827 80003 477 
54097 95758 474 
46056 67417 484 
56075 104932 423 
55432 100409 484 
48597 70319 467 
56114 113852 381 
51316 93722 475 
50840 83528 494 
57492 105717 426 
51091 81513 482 
55124 96152 517 
61050 118727 435 
53176 80680 459 
53573 99191 474 
54143 114447 372 
22022 10087 615 
50974 71570 526 
59843 119132 421 
51781 93973 455 
50563 77907 448 
52875 92506 487 
53512 86787 495 
50786 91568 451 
54381 103182 466 
52316 89838 484 
47479 80645 470 
54092 92793 441 
54569 105136 466 
53146 97918 467 
51071 92172 450 
52402 90203 482 
56840 96511 464 
10846 57374 433 
52709 92127 469 
49957 78765 455 
49495 83304 467 
52897 97146 467 
56545 95452 487 
49133 87004 493 
45465 71162 527 
61272 123594 357 
53073 91323 447 
54423 98455 480 
55908 105436 514 
48924 88188 462 
53652 107810 469 
53710 117088 450 
60270 111919 430 
46725 57156 525 
50603 89559 483 
53240 95928 443 
54760 87311 492 
56014 111961 462 
63414 122871 401 
54987 104146 454 
48325 75261 465 
49967 61420 597 
57677 118227 428 
53333 101256 436 
55013 87114 514 
53739 102729 496 
53723 94394 448 
58386 99975 467 
53495 93998 481 
56041 92552 455 
53548 100080 443 
3055 68819 280 
56902 102980 462 
52402 94461 491 
54308 94907 449 
57221 102409 450 
54008 97105 475 
57827 107811 432 
41361 81081 460 
56147 92789 486 
50834 89312 494 
56580 108255 418 
50613 75715 472 
96847 164288 296 
54583 68014 528 
51297 93472 430 
55067 106164 457 
53244 103319 504 
52172 87914 460 
51289 80293 470 
53266 92379 479 
31970 21116 603 
54908 102052 432 
61302 118560 372 
51964 87245 501 
56178 106139 429 
59922 121519 411 
48194 85315 451 
49296 76191 501 
45529 62557 476 
54449 91912 470 
14464 71697 376 
66314 135014 421 
63911 130692 370 
52859 94762 474 
53650 94758 473 
48618 87106 466 
54157 99373 424 
54701 94687 476 
50530 94154 467 
54352 95623 447 
53424 109905 439 
53997 97582 470 
55430 95937 452 
53612 97975 425 
55147 95903 479 
51128 97569 446 
54163 94007 449 
51854 94524 477 
50099 93017 473 
59874 113684 434 
50391 90620 450 
56318 99953 480 
52945 100465 422 
50660 60390 579 
47047 68335 541 
55259 111755 499 
57274 95819 442 
42914 46687 542 
59409 120858 397 
12668 69008 374 
51717 96539 461 
56658 102767 434 
52209 97209 478 
54058 96771 486 
54472 89576 478 
49941 82045 463 
56126 105104 461 
49815 82519 472 
49627 95197 462 
49280 84754 506 
53348 105206 450 
67896 137400 489 
34199 33364 510 
33293 31031 588 
51183 88852 458 
53366 93202 461 
51366 87238 485 
52163 95283 507 
53296 84397 473 
50073 86820 459 
53573 95066 481 
55010 92975 453 
52461 91267 455 
53226 82416 495 
53094 102256 478 
54894 96807 448 
58398 106447 440 
53990 95941 484 
56488 103201 437 
72758 111270 389 
55623 89956 482 
52656 98173 489 
56331 97640 448 
49631 93182 431 
51857 99725 436 
48050 59603 550 
56499 106990 412 
55188 89603 477 
54076 88584 522 
55596 100709 434 
5016 71808 270 
45143 78444 442 
53330 97690 463 
52300 88602 439 
52770 90040 440 
46986 67274 524 
103347 165622 320 
54628 95403 445 
55589 99468 423 
54209 101141 472 
54602 94687 412 
59219 120029 351 
51610 86076 499 
52620 86121 506 
125372 188928 411 
51439 84417 504 
53035 91175 462 
61168 117539 417 
53117 96875 429 
50087 81682 497 
52177 95705 462 
52725 84526 466 
54527 87526 515 
54245 101676 444 
49546 82271 480 
53480 93671 433 
56926 96719 476 
51297 95044 451 
55339 95433 449 
52085 93056 477 
50796 80127 504 
50153 92727 449 
54006 100126 435 
56163 98189 484 
-5468 45845 382 
105341 169622 328 
55201 94575 458 
49649 84750 508 
56345 115273 377 
56067 96618 520 
53220 97167 449 
49509 83448 483 
51767 80338 487 
88747 146094 322 
47168 71618 509 
54310 94540 482 
53211 84305 485 
52329 90035 454 
52727 95175 469 
51222 90014 450 
53467 88816 433 
52123 78691 504 
57454 102876 510 
47863 65752 458 
80643 143496 402 
57039 96480 502 
43033 84144 454 
55846 90688 461 
53290 95321 470 
55709 98361 481 
53217 92389 453 
53801 87319 459 
52953 90128 493 
53961 86591 474 
59033 112509 414 
55478 92078 489 
51879 89369 517 
53229 92537 449 
51804 94455 451 
53626 96598 474 
56572 100175 451 
47940 78480 482 
54732 101280 448 
54859 107187 483 
54130 100292 440 
41359 44066 567 
107044 156460 378 
28731 9374 594 
55763 101255 417 
54621 104774 411 
55244 96211 486 
54288 103182 431 
56625 80272 532 
51352 93156 479 
54141 94297 461 
55777 91263 484 
53050 97871 459 
54704 101628 453 
49896 92189 454 
51575 85645 461 
49319 89811 479 
53602 92782 441 
56430 99292 445 
44235 55653 549 
40060 42727 596 
62930 118867 387 
53713 97582 463 
